uls_2023;dim_3_t;<1 ano;1 - 4 anos;5 - 9 anos;10 - 14 anos;15 - 19 anos;20 - 24 anos;25 - 29 anos;30 - 34 anos;35 - 39 anos;40 - 44 anos;45 - 49 anos;50 - 54 anos;55 - 59 anos;60 - 64 anos;65 - 69 anos;70 - 74 anos;75 - 80 anos;81 - 84 anos;85 e mais anos
ACES Funchal;M;345;1487;1977;2366;2735;2684;2573;2664;3490;4033;4502;4547;4964;4387;3846;3335;2625;2019;2058
ACES Funchal;H;346;1534;2027;2565;2805;2901;2548;2633;3213;3734;3999;3979;4194;3687;2997;2437;1696;1050;800
ACES Madeira Este;H;236;1149;1484;1834;2021;1871;1693;1786;2294;2863;3018;2779;2670;2108;1766;1277;846;553;355
ACES Madeira Este;M;221;1095;1447;1716;1927;1840;1628;1869;2332;3034;3068;2879;2900;2472;2109;1586;1358;1108;1122
ACES Madeira Oeste;H;275;1163;1548;1883;2324;2184;1903;1896;2143;2574;2869;2716;2601;2113;1760;1426;970;598;455
ACES Madeira Oeste;M;258;1130;1461;1809;2131;2219;1861;1852;2250;2595;2858;2934;3107;2694;2311;2077;1794;1408;1349
ACES Porto Santo;M;13;67;91;121;117;137;124;115;189;192;221;220;251;216;163;128;88;83;77
ACES Porto Santo;H;12;53;106;119;156;137;131;136;183;181;211;215;240;226;164;113;73;44;36
ULS da Arrábida;M;907;4174;5635;6570;6644;6485;5908;6477;7991;10045;10806;8912;8444;8328;7709;7415;5859;4436;4829
ULS da Arrábida;H;951;4362;5854;6886;7078;6788;5967;6175;7426;9392;9919;8214;7498;7153;6549;6405;4907;3244;2390
ULS da Cova da Beira;M;232;989;1241;1510;1683;1795;1573;1717;2153;2585;2789;2804;3069;3282;3266;2917;2621;2276;2877
ULS da Cova da Beira;H;220;1002;1399;1569;1758;2003;1728;1848;2112;2474;2577;2659;2816;3125;3079;2496;2030;1518;1371
ULS da Guarda;H;374;1565;2097;2462;2948;3136;2716;2775;3396;4012;4264;4597;5088;5555;5347;4740;3911;3269;2958
ULS da Guarda;M;331;1529;2151;2407;2707;3064;2550;2702;3444;4159;4366;4838;5474;5901;5723;5453;5258;4567;5909
ULS da Lezíria;H;619;2845;3801;4465;4903;4860;4111;4340;5188;6318;6862;6343;6189;6013;5687;5394;4222;3351;2534
ULS da Lezíria;M;621;2752;3710;4288;4494;4405;3869;4117;5379;6620;7263;6750;6987;6772;6519;6288;5699;4801;5352
ULS da Póvoa de Varzim/Vila do Conde;M;519;2354;3080;3671;3877;3983;3855;4074;4974;5821;6208;5820;5828;5127;4844;4129;3264;2347;2350
ULS da Póvoa de Varzim/Vila do Conde;H;560;2433;3179;3847;4069;4080;4000;3865;4510;5328;5653;5191;5017;4505;4008;3553;2450;1582;1125
ULS da Região de Aveiro;H;1337;6130;7740;8639;9123;10094;9647;9766;11364;12990;13573;13173;12723;11873;11004;9692;7198;5369;4365
ULS da Região de Aveiro;M;1341;5655;7284;8261;8960;9648;9604;9823;11783;13799;14778;14339;14223;13648;12486;11293;9272;7407;7999
ULS da Região de Leiria;H;1394;5816;7910;8753;9719;10378;9768;9497;10808;12884;13321;13132;12747;12117;11381;10024;7891;6059;4752
ULS da Região de Leiria;M;1227;5835;7352;8434;9094;9875;9026;9462;11249;13949;14431;14262;14033;13428;12739;11903;10041;8290;8959
ULS de Almada-Seixal;H;1378;6225;8264;9119;9207;9572;9017;9463;10574;12315;12656;10763;10047;9631;9443;8878;6965;4847;3468
ULS de Almada-Seixal;M;1380;6071;7720;8556;8604;9365;9530;10329;11553;13760;14011;12196;12176;12241;11710;10881;8692;6517;6621
ULS de Amadora/Sintra;H;2527;10811;13259;14679;15634;16886;17139;17114;17527;19525;20616;18915;17016;14860;12932;11833;9375;6043;4494
ULS de Amadora/Sintra;M;2370;10446;12870;14292;15230;16931;17848;18141;19325;22207;23445;22189;20178;18108;16394;15508;12346;9102;8945
ULS de Barcelos/Esposende;M;467;2369;3056;3581;4092;4659;4282;4240;4869;6097;6621;6164;6007;5367;4841;4047;3083;2448;2587
ULS de Barcelos/Esposende;H;530;2481;3166;3841;4366;4836;4379;4065;4604;5615;6019;5745;5482;4828;4253;3534;2385;1598;1280
ULS de Braga;M;1016;4862;6148;7161;7967;8569;8462;8839;10458;12044;12503;11858;11728;10576;9285;7859;5840;4940;5696
ULS de Braga;H;1240;5144;6653;7518;8446;8883;8435;8429;9680;10822;11220;10438;10348;9440;8157;6722;4820;3354;2891
ULS de Castelo Branco;M;244;1118;1569;1833;1902;2030;1830;1993;2463;3027;3201;3366;3621;3870;3695;3651;3412;3171;3993
ULS de Castelo Branco;H;281;1225;1651;1836;2058;2193;1947;1988;2424;2918;3007;3165;3530;3582;3575;3323;2628;2080;2120
ULS de Coimbra;M;1131;4911;6556;7351;7978;9112;8390;8659;10747;13033;13955;13734;14482;14221;13774;13183;11261;9758;11105
ULS de Coimbra;H;1083;5263;6825;7855;8467;9167;8668;8566;9966;12245;12613;12458;12840;12582;11926;10907;8606;6528;5369
ULS de Entre Douro e Vouga;M;842;3888;5181;5833;6676;7372;6790;7137;8368;9827;10913;10816;11145;10317;9194;7872;6370;5080;5058
ULS de Entre Douro e Vouga;H;938;4163;5396;6224;6768;7578;7216;7085;7854;9461;10152;9978;10188;9474;8151;6848;5028;3393;2833
ULS de Lisboa Ocidental;M;1602;7167;9789;11195;11335;10819;10590;11575;13683;17612;19142;16345;15520;14354;14579;14698;11723;8925;10075
ULS de Lisboa Ocidental;H;1641;7440;10591;11967;11975;11482;10847;10845;12227;15030;16397;13916;12613;11425;10715;11050;8622;6016;4957
ULS de Loures-Odivelas;M;1463;6753;8357;8758;8786;9409;10236;11317;12610;14306;14157;12161;11674;11416;11215;10933;8875;6290;6064
ULS de Loures-Odivelas;H;1570;7033;8803;9222;9151;9687;9968;10475;11749;13098;12581;10778;9688;9200;8803;8596;6871;4537;3034
ULS de Matosinhos;H;638;2808;3556;4042;4174;4445;4578;4661;5431;5946;6337;5927;5925;5774;5271;4715;3297;2102;1598
ULS de Matosinhos;M;588;2682;3389;3931;3989;4346;4431;4929;5721;6660;7242;6834;7125;6946;6473;5651;4258;3008;3129
ULS de Santa Maria;H;1329;6057;7761;8191;8262;8632;9233;9493;9926;11370;11546;10061;9062;7885;7371;6971;5646;4221;3604
ULS de Santa Maria;M;1340;5566;7318;7875;8084;8738;9755;9785;10775;12605;12908;11208;10566;10021;9633;9635;8065;6517;8302
ULS de Santo António;M;1404;5799;7460;8309;9183;10863;11758;12115;12826;13987;15088;15095;15761;15332;14351;13558;10515;8389;9449
ULS de Santo António;H;1353;6101;7775;8609;9682;11122;11640;11656;12156;12733;13639;12856;13256;12295;11369;10223;7513;5249;4304
ULS de São José;H;1016;4121;5161;5589;5715;6990;9529;9918;9471;9412;9024;7745;7281;6483;5946;5359;4146;3177;3105
ULS de São José;M;998;3903;4822;5156;5504;6651;8832;9007;8741;9259;9142;8450;8233;7902;7264;7361;6367;5869;7503
